meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9679,0.2467,0.9634,-0.2738,0.1306,0.4613,-0.4429,0.2753,0.9510,1.2329,27.7312,91.0034,-193.0257,132.3646,378.6621,-43.2414,39.3023,116.0889,right,11804106
1.0147,0.3566,1.1539,-0.1511,0.1433,0.5248,-0.3760,0.1860,0.6379,9.2285,48.6599,174.6216,-224.4710,107.7086,321.3501,-42.3299,32.3132,90.0879,right,11804106
1.0819,0.4401,1.4689,-0.1490,0.0992,0.3985,-0.3194,0.3332,1.1453,-16.8538,87.1097,278.4424,-230.6885,121.5911,391.1133,-65.8000,23.2705,78.6743,right,11804106
1.0942,0.2780,0.9828,-0.2154,0.1880,0.6470,-0.3281,0.0928,0.3226,-5.0741,86.1526,310.6079,-225.2930,77.1939,262.7563,-13.5213,45.0570,167.6025,right,11804106
0.9802,0.3731,1.1923,-0.1418,0.1271,0.4563,-0.4507,0.1598,0.5585,5.7170,42.9314,132.3242,-208.9396,93.9282,290.3442,-42.2892,22.3983,83.6182,right,11804106
0.2604,0.0867,0.3020,-0.0874,0.1064,0.3890,-0.8576,0.2465,0.7379,8.1258,78.6428,266.9067,-56.1971,49.3372,188.5376,-22.0011,7.0549,29.7241,right,11804106
1.1160,0.3896,1.3479,-0.2505,0.2060,0.7657,-0.3330,0.2215,0.7648,-24.1903,41.8537,144.7144,-283.3659,115.6947,354.6753,-2.0101,44.6849,149.7192,right,11804106
0.8634,0.4525,1.2533,-0.1833,0.1493,0.4561,-0.5019,0.2414,0.8028,13.0656,105.6223,350.6470,-230.8797,75.8046,241.3330,-56.0303,31.9129,117.0654,right,11804106
1.0557,0.3299,1.2090,-0.1819,0.1676,0.5297,-0.2784,0.1413,0.4890,-8.6629,30.2984,127.2583,-271.4803,81.8882,264.8315,-42.9769,33.3756,113.4644,right,11804106
0.9036,0.2465,0.9424,-0.2075,0.0882,0.3311,-0.3981,0.3416,1.0344,-3.7435,48.1024,152.8931,-224.1008,33.4661,112.6099,6.0710,28.3824,92.7124,right,11804106
1.1894,0.3019,1.1437,-0.1344,0.1360,0.4421,-0.3276,0.1459,0.5281,-41.1214,38.0607,110.6567,-281.7179,96.6070,316.7114,-66.7358,58.2025,156.2500,right,11804106
1.1632,0.2941,1.0156,-0.0086,0.1584,0.4878,-0.1857,0.1406,0.5298,14.1805,78.8357,252.7466,-274.2676,68.2764,227.6001,-58.1217,42.3229,126.9531,right,11804106
0.7137,0.4966,1.4019,-0.0403,0.0889,0.3420,-0.4692,0.3678,1.0437,17.8670,39.1096,142.3340,-207.9061,108.9683,282.9590,-42.4113,18.6429,58.5327,right,11804106
1.0967,0.3437,1.2021,-0.3028,0.2220,0.7652,-0.1937,0.2098,0.7628,7.1615,30.0198,93.0176,-278.6865,72.9075,272.9492,25.7812,48.6092,161.5601,right,11804106
1.0839,0.5008,1.6259,-0.1717,0.1373,0.4155,-0.3017,0.2437,0.9288,-18.9331,156.0890,500.3052,-286.5885,93.4957,279.6631,-33.4757,45.2686,127.1973,right,11804106
1.0171,0.4555,1.3312,-0.2842,0.1649,0.5755,-0.2813,0.1622,0.4885,38.7410,39.7735,136.9629,-245.2515,65.4314,208.0078,49.6338,33.6506,110.0464,right,11804106
1.0366,0.3941,1.2436,-0.2802,0.1849,0.5503,-0.2244,0.1833,0.6099,35.0342,34.1798,126.7700,-249.1252,45.4404,138.7329,32.6660,35.0162,118.7744,right,11804106
1.0076,0.3738,1.1944,-0.2911,0.1249,0.4250,-0.2713,0.1744,0.5531,8.7687,26.4751,93.3838,-252.9622,45.0605,159.9121,51.5137,21.6904,60.9741,right,11804106
0.8416,0.3877,1.0913,-0.2379,0.1434,0.5048,-0.3928,0.2641,0.9066,6.3273,45.7503,157.9590,-218.8232,66.3262,218.1396,41.7277,18.2144,62.0117,right,11804106
0.9977,0.3184,1.0389,-0.1515,0.1124,0.3953,-0.3433,0.2217,0.7486,39.0788,24.0459,90.4541,-246.3216,49.6917,141.7847,34.0169,21.7288,69.7021,right,11804106
