meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,wristArmed,label,studentId
0.4118,0.0219,0.0747,0.3199,0.0146,0.0547,0.8455,0.0180,0.0635,1,still,11611553
0.4042,0.0134,0.0558,0.3206,0.0152,0.0562,0.8555,0.0156,0.0659,1,still,11611553
0.4044,0.0131,0.0469,0.3211,0.0147,0.0562,0.8594,0.0103,0.0368,1,still,11611553
0.4099,0.0103,0.0367,0.3190,0.0136,0.0562,0.8595,0.0102,0.0368,1,still,11611553
0.4130,0.0065,0.0267,0.3201,0.0108,0.0396,0.8582,0.0092,0.0329,1,still,11611553
0.4139,0.0066,0.0267,0.3203,0.0104,0.0373,0.8585,0.0091,0.0316,1,still,11611553
0.4114,0.0058,0.0206,0.3205,0.0102,0.0373,0.8586,0.0088,0.0316,1,still,11611553
0.4083,0.0063,0.0200,0.3226,0.0080,0.0277,0.8579,0.0087,0.0316,1,still,11611553
0.4076,0.0060,0.0199,0.3197,0.0094,0.0315,0.8599,0.0082,0.0307,1,still,11611553
0.4067,0.0046,0.0146,0.3159,0.0052,0.0164,0.8584,0.0051,0.0179,1,still,11611553
0.4075,0.0049,0.0146,0.3189,0.0080,0.0257,0.8575,0.0055,0.0193,1,still,11611553
0.4108,0.0054,0.0223,0.3231,0.0117,0.0393,0.8551,0.0081,0.0249,1,still,11611553
0.4155,0.0058,0.0194,0.3282,0.0088,0.0363,0.8500,0.0079,0.0236,1,still,11611553
0.4231,0.0137,0.0474,0.3353,0.0111,0.0429,0.8436,0.0065,0.0247,1,still,11611553
0.4319,0.0149,0.0474,0.3435,0.0154,0.0429,0.8367,0.0088,0.0314,1,still,11611553
0.4403,0.0123,0.0393,0.3482,0.0142,0.0413,0.8303,0.0096,0.0310,1,still,11611553
0.4509,0.0109,0.0410,0.3563,0.0097,0.0344,0.8243,0.0074,0.0248,1,still,11611553
0.4566,0.0091,0.0239,0.3616,0.0054,0.0184,0.8195,0.0034,0.0108,1,still,11611553
0.4606,0.0075,0.0239,0.3630,0.0059,0.0184,0.8174,0.0023,0.0081,1,still,11611553
0.4639,0.0020,0.0068,0.3647,0.0039,0.0132,0.8155,0.0027,0.0114,1,still,11611553
0.4623,0.0026,0.0093,0.3634,0.0053,0.0153,0.8145,0.0020,0.0067,1,still,11611553
0.4610,0.0021,0.0076,0.3618,0.0047,0.0153,0.8143,0.0018,0.0067,1,still,11611553
0.4604,0.0015,0.0066,0.3604,0.0031,0.0117,0.8133,0.0021,0.0066,1,still,11611553
0.4608,0.0019,0.0066,0.3626,0.0052,0.0197,0.8146,0.0022,0.0090,1,still,11611553
0.4601,0.0027,0.0090,0.3650,0.0044,0.0144,0.8154,0.0028,0.0103,1,still,11611553
0.4596,0.0029,0.0090,0.3647,0.0047,0.0155,0.8153,0.0029,0.0103,1,still,11611553
0.4575,0.0040,0.0136,0.3635,0.0056,0.0170,0.8165,0.0025,0.0101,1,still,11611553
0.4552,0.0024,0.0076,0.3593,0.0054,0.0216,0.8189,0.0049,0.0143,1,still,11611553
0.4531,0.0040,0.0150,0.3549,0.0045,0.0145,0.8201,0.0053,0.0148,1,still,11611553
0.4497,0.0047,0.0145,0.3517,0.0044,0.0136,0.8230,0.0046,0.0147,1,still,11611553
0.4484,0.0043,0.0145,0.3513,0.0038,0.0119,0.8256,0.0023,0.0093,1,still,11611553
0.4461,0.0027,0.0112,0.3511,0.0037,0.0119,0.8257,0.0025,0.0093,1,still,11611553
0.4454,0.0023,0.0071,0.3504,0.0048,0.0162,0.8269,0.0016,0.0061,1,still,11611553
0.4444,0.0033,0.0096,0.3502,0.0049,0.0162,0.8286,0.0031,0.0106,1,still,11611553
0.4420,0.0038,0.0143,0.3485,0.0035,0.0128,0.8295,0.0030,0.0106,1,still,11611553
0.4393,0.0045,0.0170,0.3457,0.0047,0.0189,0.8323,0.0038,0.0125,1,still,11611553
0.4370,0.0033,0.0101,0.3415,0.0083,0.0249,0.8351,0.0035,0.0111,1,still,11611553
0.4341,0.0045,0.0142,0.3398,0.0081,0.0249,0.8368,0.0042,0.0165,1,still,11611553
0.4322,0.0040,0.0142,0.3385,0.0070,0.0220,0.8393,0.0023,0.0098,1,still,11611553
0.4302,0.0045,0.0179,0.3369,0.0080,0.0251,0.8423,0.0053,0.0215,1,still,11611553
0.4269,0.0036,0.0125,0.3332,0.0128,0.0381,0.8443,0.0054,0.0215,1,still,11611553
0.4269,0.0038,0.0125,0.3305,0.0121,0.0381,0.8463,0.0048,0.0183,1,still,11611553
0.4274,0.0046,0.0167,0.3255,0.0092,0.0373,0.8466,0.0049,0.0205,1,still,11611553
0.4279,0.0044,0.0167,0.3233,0.0071,0.0261,0.8451,0.0045,0.0144,1,still,11611553
0.4297,0.0031,0.0134,0.3267,0.0046,0.0175,0.8449,0.0044,0.0144,1,still,11611553
0.4297,0.0029,0.0105,0.3247,0.0049,0.0183,0.8436,0.0041,0.0144,1,still,11611553
0.4293,0.0019,0.0068,0.3250,0.0046,0.0183,0.8444,0.0037,0.0129,1,still,11611553
0.4308,0.0026,0.0098,0.3262,0.0042,0.0162,0.8449,0.0034,0.0116,1,still,11611553
0.4315,0.0027,0.0098,0.3263,0.0041,0.0154,0.8441,0.0035,0.0115,1,still,11611553
0.4314,0.0027,0.0093,0.3273,0.0036,0.0122,0.8440,0.0039,0.0128,1,still,11611553
0.4307,0.0031,0.0093,0.3308,0.0061,0.0208,0.8443,0.0037,0.0128,1,still,11611553
0.4291,0.0025,0.0079,0.3297,0.0068,0.0208,0.8439,0.0033,0.0128,1,still,11611553
